hndd,cndd,avg_shannon_H
0.5,12,4.75844627063862
0.5,3,4.5237696256502
0.5,6,4.66003252805346
0.5,9,4.71196753181838
3,12,4.51978906329626
3,6,4.27956750462951
3,9,4.44461798550107
