hndd,cndd,rank,mean_abundance
0.5,3,29,193.585
0.5,3,30,189.702
0.5,3,31,185.908
0.5,3,32,182.131
0.5,3,33,178.784
0.5,3,34,175.237
0.5,3,35,171.748
0.5,3,36,168.163
0.5,3,37,164.71
0.5,3,38,161.363
0.5,3,39,158.321
0.5,3,40,155.169
0.5,3,41,152.14
0.5,3,42,149.055
0.5,3,43,146.095
0.5,3,44,143.229
0.5,3,45,140.389
0.5,3,46,137.627
0.5,3,47,134.816
0.5,3,48,132.119
0.5,3,49,129.338
0.5,3,50,126.642
0.5,3,51,124.072
0.5,3,52,121.279
0.5,3,53,118.734
0.5,3,54,116.204
0.5,3,55,113.725
0.5,3,56,111.345
0.5,3,57,108.933
0.5,3,58,106.553
0.5,3,59,104.2
0.5,3,60,101.94
0.5,3,61,99.556
0.5,3,62,97.381
0.5,3,63,95.327
0.5,3,64,93.299
0.5,3,65,91.117
0.5,3,66,88.846
0.5,3,67,86.703
0.5,3,68,84.618
0.5,3,69,82.518
0.5,3,70,80.511
0.5,3,71,78.565
0.5,3,72,76.685
0.5,3,73,74.771
0.5,3,74,72.829
0.5,3,75,70.947
0.5,3,76,69.117
0.5,3,77,67.303
0.5,3,78,65.48
0.5,3,79,63.682
0.5,3,80,61.935
0.5,3,81,60.184
0.5,3,82,58.516
0.5,3,83,56.896
0.5,3,84,55.22
0.5,3,85,53.592
0.5,3,86,51.953
0.5,3,87,50.251
0.5,3,88,48.747
0.5,3,89,47.151
0.5,3,90,45.625
0.5,3,91,44.088
0.5,3,92,42.613
0.5,3,93,41.211
0.5,3,94,39.733
0.5,3,95,38.376
0.5,3,96,36.998
0.5,3,97,35.74
0.5,3,98,34.371
0.5,3,99,33.035
0.5,3,100,31.869
0.5,3,101,30.658
0.5,3,102,29.491
0.5,3,103,28.342
0.5,3,104,27.24
0.5,3,105,26.103
0.5,3,106,24.959
0.5,3,107,23.876
0.5,3,108,22.85
0.5,3,109,21.83
0.5,3,110,20.855
0.5,3,111,19.886
0.5,3,112,18.975
0.5,3,113,18.072
0.5,3,114,17.234
0.5,3,115,16.352
0.5,3,116,15.536
0.5,3,117,14.749
0.5,3,118,13.97
0.5,3,119,13.188
0.5,3,120,12.471
0.5,3,121,11.782
0.5,3,122,11.05
0.5,3,123,10.364
0.5,3,124,9.719
